width	height	filename	ratio	rel
7450	7280	am2.jpg	1.0233516483516483	0.974113002572824
7280	7224	ambition.jpg	1.0077519379844961	0.9592638735080595
4096	3828	antman.jpg	1.0700104493207943	1.01852681163026
732	1024	back.png	0.71484375	0.6804489862351191
4096	4096	base.jpg	1	0.9518849206349206
4096	4096	base2.jpg	1	0.9518849206349206
1515	2106	belasco.png	0.7193732193732194	0.6847605198299643
704	1040	beyon.jpg	0.676923076923077	0.6443528693528694
4096	4096	c75.jpg	1	0.9518849206349206
4096	4020	celestials.png	1.0189054726368159	0.9698807549553817
4096	3828	champions.jpg	1.0700104493207943	1.01852681163026
4476	4368	civilwar.jpg	1.0247252747252746	0.9754205368044653
4482	4368	cw2.jpg	1.026098901098901	0.9767280710361067
4096	4096	darkcity.jpg	1	0.9518849206349206
4096	4096	darkcity2.jpg	1	0.9518849206349206
4096	4014	dimensions.jpg	1.020428500249128	0.9713305019732523
6048	5757	dp.jpg	1.0505471599791558	1
750	1050	eadrian.png	0.7142857142857143	0.6799178004535148
744	1030	earc.png	0.7223300970873786	0.6875751271382339
3029	4202	earthquake.png	0.7208472156116135	0.6861635946223642
1513	2105	ebelasco.png	0.7187648456057008	0.6841814180145535
704	1024	ebeyon.jpg	0.6875	0.6544208829365079
744	1030	edp.png	0.7223300970873786	0.6875751271382339
1513	2103	eemma.png	0.7194484070375654	0.684832089833873
750	1050	efoom.png	0.7142857142857143	0.6799178004535148
718	1051	egm.jpg	0.6831588962892483	0.6502886517753311
2671	3745	ehela.png	0.7132176234979973	0.6789011009388178
3020	4197	ehood.png	0.719561591613057	0.684939828524532
750	1050	ehybrid.png	0.7142857142857143	0.6799178004535148
2934	4117	ejonah.png	0.7126548457614768	0.6783654012977549
720	1024	emagus.jpg	0.703125	0.6692940848214286
2682	3745	emale.png	0.716154873164219	0.6816970246042342
2900	4200	emandarin.png	0.6904761904761905	0.657253873771731
1515	2108	emma.png	0.7186907020872866	0.6841108419174121
744	1030	emojo.png	0.7223300970873786	0.6875751271382339
744	1030	eons.png	0.7223300970873786	0.6875751271382339
750	1050	epag.png	0.7142857142857143	0.6799178004535148
744	1030	ephoenix.png	0.7223300970873786	0.6875751271382339
750	1050	epoison.png	0.7142857142857143	0.6799178004535148
2903	4193	ereaper.png	0.6923443834963033	0.6590321785364117
744	1030	esh.png	0.7223300970873786	0.6875751271382339
750	1050	evult.png	0.7142857142857143	0.6799178004535148
6048	5757	fearitself.jpg	1.0505471599791558	1
4096	4096	ff.jpg	1	0.9518849206349206
721	1053	gm.jpg	0.6847103513770181	0.6517654584784215
4096	4096	gotg.jpg	1	0.9518849206349206
2684	3751	hela.png	0.7155425219941349	0.6811141367592981
4096	4008	hoa.png	1.0219560878243512	0.9727845895510565
4096	3828	homecoming.jpg	1.0700104493207943	1.01852681163026
3029	4196	hood.png	0.7218779790276454	0.6871447627748272
2919	4199	houseofm.png	0.6951655155989521	0.6617175716440422
4096	3826	hulk.jpg	1.0705697856769472	1.0190592354732448
4096	3826	hulk2.jpg	1.0705697856769472	1.0190592354732448
4096	3826	hulk3.jpg	1.0705697856769472	1.0190592354732448
3022	4199	hydrat.png	0.719695165515599	0.685066975508152
4096	4026	itc.png	1.0173869846000994	0.9684353290910668
4096	4012	itcmm.png	1.0209371884346958	0.9718147145863995
4096	3984	jonah.png	1.0281124497991967	0.9786447376808821
2911	4196	korvac.png	0.6937559580552908	0.6603758350734638
3028	4199	korvact.png	0.7211240771612288	0.6864271349565467
704	1008	magus.jpg	0.6984126984126984	0.6648085159989922
2677	3746	male.png	0.714628937533369	0.6802445094873686
3029	4203	mandarin.png	0.720675707827742	0.6860003389491255
5120	4962	mm.jpg	1.0318419991938734	0.9821948395104381
4096	3986	newmutants.png	1.0275965880582036	0.9781536966684984
4096	3982	nmschemes.png	1.0286288297338022	0.9791362719539516
5124	5057	noir.jpg	1.0132489618350802	0.964496407619801
2918	4197	nomore.png	0.6952585179890398	0.6618060992167497
4096	3966	officers.png	1.032778618255169	0.9830863930712646
4096	4096	pttr.jpg	1	0.9518849206349206
2903	4199	reaper.png	0.691355084543939	0.6580904797816562
4096	3968	rev.png	1.032258064516129	0.9825908858166922
4096	3980	rev3.png	1.0291457286432162	0.9796283002313154
4096	3980	rev4.png	1.0291457286432162	0.9796283002313154
4070	4096	revelations.png	0.99365234375	0.9458426823691716
4096	3966	shield.png	1.032778618255169	0.9830863930712646
3038	4204	shydra.png	0.7226450999048525	0.6878749735701448
4416	4351	sw1.jpg	1.0149390944610435	0.9661052193803286
4404	4318	sw12.jpg	1.0199166280685503	0.9708432585632679
4096	4096	sw2.jpg	1	0.9518849206349206
4096	4096	sw22.jpg	1	0.9518849206349206
3017	4195	tsunami.png	0.7191895113230036	0.6845856509071646
4096	3988	venom.png	1.0270812437311936	0.9776631481746828
4096	3834	venom2.jpg	1.0683359415753781	1.0169328729579121
4096	4096	villains.jpg	1	0.9518849206349206
4096	4096	villains2.jpg	1	0.9518849206349206
4608	4466	xmen.jpg	1.03179579041648	0.9821508540720363
5120	4962	xmen2.jpg	1.0318419991938734	0.9821948395104381
5120	4976	xmen3.jpg	1.0289389067524115	0.9794314295922012
